p_set    percent_errors   coefficients (c)    std_errors (Sc)
[0.0, 2.0, 3.0]   [0.1277, 0.2813, 0.7047]   [2.606748, 0.554841, -0.053329]   [0.003329, 0.001561, 0.000376]
[1.0]   [0.7187]   [2.16063]   [0.015529]
[0.0, 0.5, 1.0]   [0.7296, 0.9994, 0.4522]   [4.149157, -4.099067, 3.029325]   [0.030274, 0.040964, 0.013698]
[0.5]   [0.8551]   [3.270367]   [0.027965]
[0.5, 2.0]   [0.3504, 1.4351]   [2.677439, 0.164948]   [0.009382, 0.002367]
[0.5, 3.0]   [0.2558, 1.7506]   [2.93963, 0.035163]   [0.00752, 0.000616]
[0.0, 2.0]   [0.8186, 1.2704]   [3.011658, 0.337443]   [0.024652, 0.004287]
[0.0, 1.0]   [2.7711, 0.8594]   [1.135731, 1.665948]   [0.031472, 0.014317]
[0.0, 1.0, 2.0]   [1.3597, 2.1413, 3.2373]   [1.856971, 1.010995, 0.136028]   [0.025249, 0.021649, 0.004404]
[0.0, 3.0]   [1.2361, 3.3168]   [3.700364, 0.077803]   [0.045741, 0.002581]
[0.0]   [2.295]   [4.642384]   [0.106542]
[0.0, 1.0, 3.0]   [1.5845, 1.1681, 4.7072]   [1.590371, 1.355214, 0.016471]   [0.0252, 0.01583, 0.000775]
[0.5, 1.0]   [3.917, 3.2257]   [1.485771, 1.190703]   [0.058197, 0.038409]
[2.0]   [3.6812]   [0.77755]   [0.028623]
[0.0, 0.5]   [5.6794, 1.919]   [-2.408036, 4.912318]   [0.136762, 0.094265]
[2.0, 3.0]   [2.8036, 5.0139]   [1.683941, -0.30549]   [0.047211, 0.015317]
[1.0, 2.0, 3.0]   [1.4541, 4.7142, 5.8921]   [3.346707, -0.77037, 0.108728]   [0.048664, 0.036316, 0.006406]
[0.0, 0.5, 2.0]   [8.524, 2.9155, 1.9064]   [0.770684, 1.997823, 0.207822]   [0.065693, 0.058247, 0.003962]
[1.0, 2.0]   [1.2786, 7.6849]   [2.570195, -0.163472]   [0.032863, 0.012563]
[1.0, 3.0]   [0.9131, 10.5303]   [2.332273, -0.025083]   [0.021297, 0.002641]
[0.5, 1.0, 2.0]   [2.1412, 11.4218, 3.7391]   [3.291359, -0.596666, 0.242938]   [0.070474, 0.06815, 0.009084]
[3.0]   [7.0043]   [0.220408]   [0.015438]
[0.5, 1.0, 3.0]   [2.3864, 14.2083, 5.2124]   [2.518797, 0.336906, 0.02622]   [0.060109, 0.047869, 0.001367]
[0.0, 0.5, 3.0]   [19.8326, 1.9171, 3.3123]   [-0.398548, 3.252164, 0.030828]   [0.079042, 0.062348, 0.001021]
[0.5, 2.0, 3.0]   [0.704, 10.8654, 19.5037]   [2.767663, 0.106571, 0.012717]   [0.019484, 0.011579, 0.00248]
